iter	Logloss
0	0.6906638456
1	0.6884095354
2	0.6861189266
3	0.6837122766
4	0.681085292
5	0.6784842743
6	0.6759899291
7	0.6742802119
8	0.6721952097
9	0.67044106
10	0.6682955615
11	0.6663006537
12	0.6642170256
13	0.6625243446
14	0.6603868199
15	0.6583186467
16	0.6559110391
17	0.6536931303
18	0.6524098474
19	0.6509501729
20	0.6490190601
21	0.6471140672
22	0.6453360237
23	0.643157416
24	0.6417367288
25	0.6397707359
26	0.6379825001
27	0.6363714632
28	0.6344851327
29	0.6330607992
30	0.6315659818
31	0.6303568837
32	0.6289433915
33	0.627192362
34	0.6258042696
35	0.6240548731
36	0.6223375246
37	0.6213477279
38	0.619673551
39	0.6182462139
40	0.6166323434
41	0.614908068
42	0.6133291927
43	0.6121582564
44	0.6113310844
45	0.610710032
46	0.6094913071
47	0.6081562807
48	0.6066343609
49	0.6053929339
50	0.6042719057
51	0.6029796548
52	0.6019267039
53	0.6010300537
54	0.5999880351
55	0.5990286668
56	0.5982189083
57	0.5971703594
58	0.5962407063
59	0.5952436094
60	0.5943372313
61	0.5931150055
62	0.592207947
63	0.5911186871
64	0.5901479911
65	0.5891720214
66	0.5882304717
67	0.5872528702
68	0.5860863885
69	0.5849975194
70	0.5840110624
71	0.5828683773
72	0.5817613273
73	0.5805677502
74	0.5799982246
75	0.5791306272
76	0.5781421417
77	0.577012217
78	0.57588086
79	0.5747391052
80	0.5739469755
81	0.5734316387
82	0.5724719055
83	0.5714784882
84	0.5707362277
85	0.5698056263
86	0.5690623262
87	0.5685562563
88	0.5678946829
89	0.5671553531
90	0.5665895686
91	0.5658761692
92	0.5651935991
93	0.5644885258
94	0.5636406072
95	0.5630184772
96	0.562137596
97	0.5615057737
98	0.5608778544
99	0.5601988869
100	0.5597095969
101	0.5588646583
102	0.558069052
103	0.5575576836
104	0.5570986201
105	0.5563347134
106	0.5555515918
107	0.5546635423
108	0.5536692779
109	0.5529232829
110	0.5524008907
111	0.5516497799
