iter	Passed	Remaining
449	1110	1357
450	1113	1355
451	1115	1352
452	1119	1351
453	1121	1349
454	1124	1347
455	1126	1344
456	1129	1341
457	1132	1340
458	1135	1338
459	1138	1336
460	1140	1333
461	1142	1330
462	1145	1328
463	1147	1325
464	1150	1323
465	1152	1320
466	1154	1318
467	1165	1324
468	1168	1323
469	1171	1320
470	1173	1317
471	1175	1315
472	1177	1312
473	1179	1309
474	1181	1306
475	1184	1303
476	1186	1301
477	1189	1298
478	1191	1295
479	1193	1292
480	1195	1289
481	1197	1287
482	1200	1284
483	1202	1282
484	1204	1279
485	1206	1276
486	1209	1273
487	1211	1270
488	1213	1268
489	1215	1265
490	1218	1262
491	1220	1260
492	1222	1257
493	1224	1254
494	1226	1251
495	1228	1248
496	1230	1245
497	1233	1243
498	1235	1240
499	1237	1237
500	1239	1234
501	1241	1231
502	1243	1228
503	1245	1226
504	1248	1223
505	1250	1220
506	1252	1218
507	1254	1215
508	1257	1212
509	1258	1209
510	1260	1206
511	1262	1203
512	1264	1200
513	1266	1197
514	1268	1194
515	1271	1192
516	1273	1189
517	1275	1186
518	1277	1184
519	1280	1181
520	1282	1178
521	1284	1176
522	1286	1173
523	1288	1170
524	1290	1167
525	1293	1165
526	1295	1162
527	1297	1160
528	1299	1157
529	1302	1154
530	1304	1152
531	1306	1149
532	1308	1146
533	1310	1143
534	1313	1141
535	1315	1139
536	1318	1136
537	1320	1134
538	1323	1131
539	1327	1130
540	1329	1127
541	1331	1125
542	1333	1122
543	1336	1120
544	1339	1118
545	1342	1116
546	1344	1113
547	1347	1111
548	1350	1109
549	1351	1105
550	1354	1103
551	1356	1101
552	1359	1099
553	1362	1096
554	1364	1093
555	1366	1091
556	1369	1089
557	1372	1086
558	1374	1084
559	1376	1081
560	1379	1079
561	1380	1076
562	1383	1073
563	1386	1071
564	1389	1069
565	1391	1067
566	1393	1064
567	1396	1061
568	1398	1059
569	1401	1057
570	1403	1054
571	1406	1052
572	1408	1049
573	1410	1047
574	1413	1044
575	1415	1042
576	1418	1039
577	1420	1037
578	1423	1034
579	1425	1032
580	1428	1029
581	1430	1027
582	1433	1025
583	1435	1022
584	1436	1019
585	1438	1016
586	1441	1013
587	1443	1011
588	1446	1009
589	1448	1006
590	1450	1004
591	1453	1001
592	1456	999
593	1458	996
594	1461	994
595	1463	992
596	1466	989
597	1467	986
598	1469	984
599	1472	981
600	1474	979
601	1477	976
602	1480	974
603	1483	972
604	1485	970
605	1488	967
606	1491	965
607	1493	963
608	1496	960
609	1498	957
610	1500	955
611	1502	952
612	1505	950
613	1507	947
614	1510	945
615	1513	943
616	1515	940
617	1518	938
618	1522	937
619	1525	934
620	1528	932
621	1530	930
622	1533	927
623	1536	925
624	1539	923
625	1542	921
626	1545	919
627	1547	916
628	1550	914
629	1553	912
630	1556	910
631	1559	907
632	1561	905
633	1564	903
634	1567	900
635	1570	898
636	1572	896
637	1575	893
638	1578	891
639	1580	889
640	1584	887
641	1587	885
642	1589	882
643	1592	880
644	1594	877
645	1597	875
646	1600	872
647	1602	870
648	1605	868
649	1607	865
650	1610	863
651	1613	861
652	1616	858
653	1617	855
654	1620	853
655	1622	850
656	1625	848
657	1628	846
658	1630	843
659	1633	841
660	1636	839
661	1638	836
662	1641	834
663	1644	831
664	1646	829
665	1649	827
666	1650	824
667	1653	821
668	1655	818
669	1657	816
670	1660	814
671	1663	811
672	1666	809
673	1668	807
674	1671	804
675	1674	802
676	1677	800
677	1679	797
678	1682	795
679	1683	792
680	1686	789
681	1688	787
682	1691	785
683	1694	782
684	1696	780
685	1698	777
686	1701	774
687	1703	772
688	1707	770
689	1709	768
690	1712	765
691	1715	763
692	1717	760
693	1721	758
694	1725	757
695	1729	755
696	1732	753
697	1735	750
698	1738	748
699	1741	746
700	1744	743
701	1746	741
702	1749	739
703	1752	736
704	1755	734
705	1758	732
706	1760	729
707	1761	726
708	1764	724
709	1767	722
710	1769	719
711	1772	716
712	1774	714
713	1776	711
714	1778	709
715	1781	706
716	1784	704
717	1786	701
718	1788	699
719	1790	696
720	1792	693
721	1796	691
722	1799	689
723	1801	686
724	1804	684
725	1806	681
726	1809	679
727	1811	676
728	1813	674
729	1816	671
730	1817	668
731	1819	666
732	1822	663
733	1824	661
734	1826	658
735	1829	656
736	1831	653
737	1834	651
738	1836	648
739	1838	646
740	1841	643
741	1843	641
742	1845	638
743	1847	635
744	1849	633
745	1852	630
746	1855	628
747	1857	625
748	1860	623
749	1862	620
750	1865	618
751	1867	615
752	1869	613
753	1872	610
754	1874	608
755	1877	605
756	1879	603
757	1881	600
758	1884	598
759	1886	595
760	1887	592
761	1890	590
762	1893	588
763	1895	585
764	1899	583
765	1901	580
766	1904	578
767	1907	576
768	1909	573
769	1912	571
770	1914	568
771	1916	566
772	1919	563
773	1922	561
774	1925	558
775	1928	556
776	1931	554
777	1933	551
778	1936	549
779	1939	547
780	1942	544
781	1944	542
782	1946	539
783	1949	537
784	1952	534
785	1955	532
786	1956	529
787	1959	527
788	1961	524
789	1964	522
790	1967	519
791	1969	517
792	1972	514
793	1974	512
794	1977	509
795	1980	507
796	1983	505
797	1985	502
798	1988	500
799	1990	497
800	1992	495
801	1995	492
802	1998	490
803	2000	487
804	2003	485
805	2005	482
806	2007	480
807	2010	477
808	2013	475
809	2014	472
810	2017	470
811	2019	467
812	2021	465
813	2024	462
814	2027	460
815	2030	457
816	2031	455
817	2034	452
818	2036	450
819	2038	447
820	2041	445
821	2044	442
822	2046	440
823	2049	437
824	2050	435
825	2053	432
826	2055	430
827	2058	427
828	2061	425
829	2063	422
830	2065	420
831	2068	417
832	2070	415
833	2073	412
834	2075	410
835	2078	407
836	2080	405
837	2082	402
838	2085	400
839	2090	398
840	2092	395
841	2095	393
842	2097	390
843	2100	388
844	2103	385
845	2105	383
846	2108	380
847	2111	378
848	2113	375
849	2116	373
850	2119	371
851	2121	368
852	2123	366
853	2126	363
854	2128	360
855	2130	358
856	2133	356
857	2136	353
858	2138	351
859	2140	348
860	2142	345
861	2145	343
862	2147	340
863	2150	338
864	2152	335
865	2154	333
866	2157	330
867	2159	328
868	2161	325
869	2164	323
870	2166	320
871	2168	318
872	2170	315
873	2173	313
874	2175	310
875	2177	308
876	2180	305
877	2182	303
878	2185	300
879	2187	298
880	2190	295
881	2192	293
882	2194	290
883	2197	288
884	2199	285
885	2201	283
886	2203	280
887	2206	278
888	2208	275
889	2211	273
890	2213	270
891	2216	268
892	2218	265
893	2220	263
894	2223	260
895	2226	258
896	2228	255
897	2231	253
898	2233	250
899	2235	248
900	2237	245
901	2240	243
902	2242	240
903	2245	238
904	2247	235
905	2249	233
906	2252	230
907	2254	228
908	2256	225
909	2259	223
910	2261	220
911	2263	218
912	2265	215
913	2267	213
914	2269	210
915	2272	208
916	2274	205
917	2276	203
918	2278	200
919	2281	198
920	2283	195
921	2285	193
922	2288	190
923	2291	188
924	2293	185
925	2296	183
926	2298	181
927	2301	178
928	2304	176
929	2307	173
930	2309	171
931	2320	169
932	2324	166
933	2327	164
934	2329	161
935	2332	159
936	2335	156
937	2337	154
938	2339	152
939	2342	149
940	2344	146
941	2346	144
942	2349	142
943	2352	139
944	2354	137
945	2356	134
946	2359	132
947	2361	129
948	2364	127
949	2366	124
950	2369	122
951	2371	119
952	2373	117
953	2376	114
954	2378	112
955	2381	109
956	2383	107
957	2386	104
958	2389	102
959	2391	99
960	2394	97
961	2396	94
962	2399	92
963	2401	89
964	2404	87
965	2406	84
966	2408	82
967	2411	79
968	2414	77
969	2416	74
970	2419	72
971	2421	69
972	2424	67
973	2426	64
974	2429	62
975	2431	59
976	2434	57
977	2436	54
978	2438	52
979	2441	49
980	2444	47
981	2446	44
982	2448	42
983	2451	39
984	2454	37
985	2457	34
986	2460	32
987	2462	29
988	2465	27
989	2467	24
990	2469	22
991	2472	19
992	2474	17
993	2476	14
994	2478	12
995	2481	9
996	2484	7
997	2487	4
998	2489	2
999	2492	0
